BaseX,BaseY,BaseZ,Joint1X,Joint1Y,Joint1Z,Joint2X,Joint2Y,Joint2Z,FootX,FootY,FootZ
0,0,0,43,0,0,38.6104,0,-79.8795,-65.3709,0,-164.401
0,0,0,42.826,3.86478,0,38.4541,3.47024,-79.8795,-65.1064,-5.87544,-164.401
0,0,0,42.3053,7.69827,0,37.9863,6.91235,-79.8795,-64.3154,-11.7034,-164.401
0,0,0,41.4422,11.4695,0,37.2116,10.2986,-79.8795,-63.0026,-17.4365,-164.401
0,0,0,40.2436,15.1478,0,36.135,13.6013,-79.8795,-61.181,-23.0287,-164.401
0,0,0,38.7192,18.7035,0,34.7661,16.7939,-79.8794,-58.863,-28.4341,-164.402
0,0,0,36.8815,22.1078,0,33.1159,19.8507,-79.8794,-56.0692,-33.6095,-164.402
0,0,0,34.7452,25.3332,0,31.1978,22.7467,-79.8794,-52.8215,-38.5129,-164.402
0,0,0,32.3276,28.3535,0,29.0275,25.4591,-79.8795,-49.1462,-43.1046,-164.401
0,0,0,29.6484,31.1443,0,26.6216,27.9648,-79.8795,-45.0736,-47.3478,-164.401
0,0,0,-21.5084,-37.2343,0,nan,nan,nan,nan,nan,nan
0,0,0,-20.43,-37.8367,0,nan,nan,nan,nan,nan,nan
0,0,0,-19.3338,-38.4084,0,nan,nan,nan,nan,nan,nan
0,0,0,-18.2206,-38.9488,0,nan,nan,nan,nan,nan,nan
0,0,0,-17.0912,-39.4575,0,nan,nan,nan,nan,nan,nan
0,0,0,-15.9466,-39.9338,0,nan,nan,nan,nan,nan,nan
0,0,0,-14.7879,-40.3772,0,nan,nan,nan,nan,nan,nan
0,0,0,-13.6157,-40.7874,0,nan,nan,nan,nan,nan,nan
0,0,0,-12.4308,-41.164,0,nan,nan,nan,nan,nan,nan
0,0,0,-11.2347,-41.5064,0,nan,nan,nan,nan,nan,nan
